feature_id,explanation
88,"Tokens related to specific objects, systems, or events, often technical or specialized in context."
235,"Tokens related to textiles, laundry, or eligibility criteria in specific contexts."
526,"Tokens introducing or connecting distinct ideas, often conjunctions or prepositions in meaningful contexts."
645,"Tokens indicating risk, disruption, or obstruction in physical or abstract contexts."
663,"Tokens describing durations or outdoor activities, especially ""hours"" and ""country""."
789,"Dynamic verbs or expressions related to movement, change, or transition."
854,"Semantically significant tokens emphasizing persistence, importance, or prominence in abstract or descriptive contexts."
889,"Technical terms describing biological structures or processes, especially involving membranes or lymph nodes."
918,"Verbs or nouns related to tactile actions, shaping, or physical modifications."
943,"Verbs related to financial transactions, movement, or life events in progressive or future contexts."
986,"The token ""headaches"" in the context of cluster headaches in medical or descriptive sentences."
998,Words related to stability or occupying space.
1072,"Fragments of words, often prefixes or syllables, related to specific or uncommon terms."
1089,Tokens related to sweetness or flavor in food contexts.
1090,"Suffixes in specialized medical or technical terms, particularly ""-athy"" and ""-processing""."
1294,"Greek letters in scientific or technical contexts, often preceding a hyphen or specific terminology."
1333,"Tokens ""instructors"" and ""at"" in contexts related to teaching, safety, or professional guidance."
1337,"Words denoting physical or metaphorical boundaries or transitions, like ""outside"" and ""shepherd""."
1347,Common prepositions and conjunctions in idiomatic or transitional phrases conveying a sequence or outcome.
1353,"Words related to illumination, physical objects, or transient states."
1460,Temporal or situational markers indicating specific moments or conditions.
1607,"Words conveying strong sensory or emotional experiences, often related to action or transformation."
1640,"Spatial or descriptive nouns and adjectives highlighting location, ambition, possibility, or personal experience."
1651,"Words related to comparison or evaluation processes like ""compare,"" ""comparing,"" or ""comparative."""
1699,"Common informal or conversational language often involving actions, feelings, or general descriptors."
1724,"Tokens related to resolving, fixing, or applying solutions, often in practical or problem-solving contexts."
1737,"Specific nouns or adverbs denoting occasional events, actions, or states, often involving outdoor or situational contexts."
1861,"Comparative or relational terms linking two entities, such as ""as,"" ""to,"" ""compared,"" or ""than."""
1947,"Adjectives describing assertive, intense, or sharp qualities in behavior or objects."
2116,"Nouns referring to physical aids or containers, especially ""mobility"" and ""vessels""."
2202,"Connective words linking ideas or phrases, such as ""of,"" ""sure,"" ""fair,"" ""and."""
2208,"Tokens related to time, need, board, or mild, often in specific contextual phrases."
2211,"Tokens describing events or actions involving ""out,"" often in medical or situational contexts."
2245,Verbs in their infinitive form often following auxiliary verbs or prepositions.
2403,"Tokens conveying intent or time, such as ""to,"" ""showed,"" ""week,"" or ""fine."""
2435,Tokens related to cinnamon and its use in dietary or health contexts.
2474,Tokens highlighting exceptional qualities or actions that stand out or are striking.
2506,"Tokens describing distinct, specialized aspects or components of broader entities or concepts."
2555,"Words implying abstract concepts or qualities, often tied to innovation, dynamics, or competition."
2587,"Verbs indicating actions or states involving perception, positioning, or defense."
2612,"Tokens related to elevation, high places, or points of interest."
2624,"Verbs implying comparison, perception, or action in abstract or creative contexts."
2645,"Terms denoting personal growth, professional advancement, or specialized advice."
2686,"Words related to specialized physical or therapeutic activities like ""occupational"" and low-impact exercises."
2794,"Prepositions indicating movement, position, or sequence, such as ""after,"" ""on,"" and ""to."""
2818,"Words describing physical or metaphorical paths or movement, often in outdoor or exploratory contexts."
2857,"Tokens marking possession or attribution, often with ""'s"" or specific names."
2874,"Verbs or prepositions indicating action, addition, or comparison in context-specific phrases."
2895,"Specific nouns like ""remedy,"" ""ATM,"" or ""chart"" in contexts indicating practical use or instructional focus."
2993,"Specialized technical terms or concepts in science, health, or fitness contexts."
3052,Verbs or adjectives expressing strong emotional or protective actions or states.
3224,"Hyphenated phrases involving familial relationships or poker-related terms like ""flop"" and ""quarterfinals."""
3244,"The token ""avoid"" in contexts suggesting prevention or circumvention of negative outcomes."
3413,"Tokens denoting specific measurements, actions, or entities in technical or descriptive contexts."
3447,"Tokens tied to physical or spatial characteristics, often referencing size, position, or structural elements."
3615,"Words indicating permanence, enhancement, or completion often tied to aspirational or definitive contexts."
3705,"The coordinating conjunction ""and"" connecting two comparable entities or concepts."
3715,"Medical terms related to ""symptoms"" or ""symptom"" describing health conditions."
3896,"Tokens denoting destruction, negation, or significant events, often in dramatic or impactful contexts."
3914,"Tokens related to measurements, dimensions, or quantities often involving ""x"" or similar formatting."
3949,"The token ""most"" when emphasizing superlative degrees in contexts of potential, help, or importance."
4019,"The token ""constant"" describing persistent or ongoing demands or efforts."
4127,"Words denoting specific objects, events, or states with notable or specialized significance."
4242,"Transition words indicating causality, time, or result in narrative or explanatory contexts."
4259,"Tokens indicating possession or association, often in personal, emotional, or professional contexts."
4268,"Abstract nouns related to causation or influence, such as ""factor,"" ""tendency,"" or ""hint."""
4298,"Tokens introducing reasoning or prioritization, often ""what"", ""context"", ""Prior"", or ""like""."
4362,"Tokens indicating informal, slang, or context-specific expressions often used in casual or niche conversations."
4379,"Tokens referring to specific locations or positions, often associated with choosing or identifying a place."
4402,Tokens signaling alternatives or actions involving support or correction.
4435,"Tokens related to authorship, titles, or notable names in cultural or literary contexts."
4537,"The token ""bit"" in phrases expressing mild emotional or physical states."
4538,"Tokens indicating connection or causation, such as ""of,"" ""so,"" ""pulled,"" and ""evident."""
4638,"Words indicating adequacy or limitation in context, such as ""suffice"", ""enough"", ""rejection"", or ""stalled""."
4775,Tokens related to bodily functions or labor in contexts emphasizing physical or societal actions.
4782,Verbs or nouns related to physical actions or processes involving substances or objects.
4818,Tokens indicating specific actions or objects in descriptive or narrative contexts.
4883,"Tokens implying action, intention, or attribution in contexts of decision-making or assigning value."
4898,"Tokens suggesting growth, discovery, or possession, often ""of"" or ""exponentially"" in abstract or predictive contexts."
4919,"Proper nouns or abstract concepts with strong cultural, social, or philosophical significance."
4956,"Rare verbs or nouns tied to specific actions, processes, or contexts, often technical or thematic."
5086,"Tokens indicating concepts of activation, change, or fading, often tied to emotional or physical states."
5136,"Numeric tokens and specific identifiers, often within structured formats like phone numbers or codes."
5140,"Anatomical terms like ""lens"" and ""lungs"" in contexts describing their physical condition or functional aspects."
5264,"The token ""suggested"" in contexts of advice or recommendations related to health, activities, or lifestyle changes."
5552,Verbs or phrases indicating responsibility or obligation in personal or practical contexts.
5600,Words related to tangible objects or their variations in context of choice or usage.
5605,"Tokens related to naming, individualism, or subjects in academic, philosophical, or behavioral contexts."
5625,Words indicating exceptions or alternatives in decision-making contexts.
5675,"Proper nouns or specific terms often marking titles, roles, or distinct identifiers in text."
5678,"Tokens representing proper nouns or specific names, often places or individuals."
5688,Tokens representing proper nouns or specific terms with distinct capitalization or unique spelling.
5869,"The word ""in"" denoting a specific context or location within a situation or setting."
6087,"Verbs indicating halting actions such as ""stopping"" or ""braking"" in contexts of caution or control."
6155,"Verbs indicating actions involving movement, change, or consumption."
6211,"Tokens related to ""laser"" often in the context of eye surgery or treatment."
6247,"Tokens describing a distinct quality, role, or emotional state in specialized or impactful contexts."
6271,"Words related to personal identity or physiological states, often involving self-exploration or sensory experiences."
6291,"Tokens ""to"", ""rah"", ""elp"", or ""ERT"" in contexts of continuation, pairing, or technical references."
6451,Units of area and length in measurements or property descriptions.
6460,"Tokens related to ""objectivity"" or physical actions like ""bent"" or directional verbs like ""to""."
6474,"Tokens related to reasoning or causation often following ""=>"" or ""terms"" in introspective or explanatory contexts."
6538,"Tokens related to patents, diving equipment, and financial or legal terminology."
6578,"Tokens representing introspection, reflection, or transition in thought or action."
6615,Tokens forming part of compound words or proper nouns with unique or localized significance.
6701,"Adjectives describing distinct, impressive, or dynamic qualities in objects, people, or abstract concepts."
6925,Activates on tokens referencing prominent organizations or figures with global or political significance.
6944,"Tokens related to technical or specialized terminology, often within professional or scientific contexts."
6958,"Words related to physical movement, body parts, or falling."
7056,"Common function words in phrases introducing examples, actions, or descriptions."
7077,Singular nouns referencing distinct objects or concepts in specific contexts.
7276,"Medical or structural terms related to deficiencies, injuries, or inflammation."
7385,Action-oriented verbs conveying intense or impactful events or outcomes.
7483,"Tokens ""one"" and ""pastoral"" in brand-related or specialized contexts."
7493,"Pronouns or adverbs indicating presence, possession, or identification (e.g., ""them,"" ""me,"" ""there,"" ""sand"")."
7554,"Terms related to transportation, events, or technical procedures requiring coordination or handling."
7559,"Tokens ending with ""ed"" or ""ized"" indicating past participles or adjectives describing a state or condition."
7571,"Tokens marking specific states or actions, often with a formal or technical tone."
7601,"Tokens related to pages, layout, or arriving at a location."
7609,"The token ""man"" following the word ""Post"" in contexts referring to a specific role or collection."
7634,Verbs expressing necessity or desire in conditional or situational contexts.
7720,"The token ""sentence"" when referring to structural aspects or memorability of sentences."
7773,Functional or descriptive prepositions connecting ideas or actions.
7876,Rare or non-standard words used in specific contexts.
7917,"Numerical tokens, often in measurements, rankings, or historical context."
7959,"Tokens related to suggestions or craftsmanship, often in contexts requiring advice or describing skilled creation."
7980,"The token ""determination"" in contexts emphasizing mental toughness or resolute commitment."
7987,"Tokens indicating signs or actions related to monitoring, stress, or infection in descriptive contexts."
8074,"Tokens forming pluralized or modified nouns, often ending in ""ers,"" ""ly,"" or similar suffixes."
8087,"Tokens preceding or connected to direct speech or reported statements, especially ""told"" and ""to""."
8179,"Words indicating errors, targets, or matters of concern, often highlighting precision or corrective context."
8224,"Proper nouns related to media titles, products, or notable entities."
8256,"Verbs indicating intentional action or control in maintaining, aiming, or fitting contexts."
8277,"Action-oriented words suggesting decision-making, movement, or engagement in a personal or external context."
8467,"Tokens describing abstract qualities or actions involving personal choice, cultural elements, or scientific concepts."
8763,"Spatial or exploratory terms suggesting movement or distance, often metaphorically broadening perspective or physical boundaries."
8797,Positive or neutral abstract nouns or adjectives reflecting qualities like kindness or cultural significance.
8831,"Words indicating specific body parts or sensations, or relational prepositions like ""to,"" ""about,"" ""of""."
9149,"Tokens marking specific transitions or relationships, often prepositions or determiners introducing descriptive elements."
9155,Specific nouns describing physical objects or sensations related to rigidity or containment.
9313,"Punctuation marks often used in formal writing, especially commas and periods in structured contexts."
9354,"Verbs or phrases indicating challenge, opposition, or interaction with a difficult situation."
9481,"Tokens indicating a range or comparison, often involving numbers or quantities."
9545,"Verbs indicating action or addition, often in instructional or procedural contexts."
9551,"Tokens describing actions, manipulations, or sudden changes involving physical or conceptual objects."
9649,"Words describing percentage, actions, or possession in formal or analytical contexts."
9699,"Words denoting abstract concepts or actions central to reasoning, problem-solving, or decision-making contexts."
9703,"Tokens representing specific items or categories, often plural or indicating distinct variations."
9707,"Terms related to airflow, ventilation, and acoustic properties."
9781,"Tokens related to expressing emotions or actions like frustration, emphasis, stress, or demonstrations."
9799,"Words implying restriction, reduction, or limitation often linked to physical or metaphorical barriers."
9820,"Verbs related to decision-making or reaching a conclusion, often involving resolution or prioritization."
9825,"Proper nouns referencing video games, particularly the ""Halo"" series."
9940,"Words related to physical properties or attributes like moisture, texture, buds, or influence."
10015,"Tokens implying physical or metaphorical alignment, proximity, or suitability."
10016,Singular nouns describing parts of the body or specific personal actions.
10134,Proper nouns and possessive pronouns used in technical or comparative contexts.
10138,Words indicating redness or swelling in medical or physical contexts.
10157,"Words denoting influence or effect, or specific astrological terms like ""Gemini."""
10184,"Rare or formal terms denoting actions, states, or concepts with distinct or nuanced meanings."
10241,Tokens indicating specificity or purity in descriptions or states.
10268,"Words indicating time periods or significant moments, often related to decades, years, or notable events."
10450,"Tokens indicating emphasis or key distinctions in formal contexts, often following colons or appearing as standalone phrases."
10517,Tokens describing specific features or adjustments in objects or systems.
10577,"Tokens indicating unity, self-sufficiency, or individualism in abstract or collaborative contexts."
10630,Tokens following a colon often introducing examples or explanations.
10660,"Abstract nouns related to measurable traits, capacities, or results."
10750,"Tokens describing specific conditions, attributes, or classifications often involving precision or technical context."
10820,"Variations of the verb ""manifest"" describing the emergence or expression of conditions or abstract concepts."
10977,"Words conveying size, significance, or prominence, often in comparative or aspirational contexts."
11201,"Tokens referring to specific materials, objects, or concepts with functional or structural significance."
11227,"The token ""kick"" in contexts related to skateboarding tricks."
11279,"Words indicating ranking or distinction, e.g., top ""10"" or ""ten"" percent, or known ""for"" notable qualities."
11302,Tokens introducing clauses or phrases providing specific explanations or elaborations.
11336,Tokens containing hyphens or irregular character combinations in technical or descriptive contexts.
11357,"Tokens ""pursue"" and ""imagine"" in contexts of decision-making or envisioning future actions."
11370,Hyphenated prefixes preceding specific technical or descriptive terms.
11515,"Tokens ""of"" and ""ining"" in contexts involving definitions, perceptions, or redefinitions."
11584,"Tokens denoting specific actions, traits, or entities with distinct or specialized roles."
11587,"Words indicating causality or justification, especially ""since"" or ""upon""."
11705,"Tokens expressing humor, amusement, or self-reflection in conversational or informal contexts."
11746,"Tokens referencing iconic names, objects, or concepts, often linked to arts, culture, or notable events."
11761,"Specialized nouns related to structural elements, design, or key conceptual ideas."
