feature_id,explanation
88,Words describing tangible objects or specific sensations.
235,Tokens relating to eligibility or menstrual health contexts.
645,"Verbs related to taking action, preventing issues, or causing obstruction or harm."
663,Terms quantifying time or tracking physical responses in health-related contexts.
789,"Tokens related to sleep aids, convenience, or fertility procedures."
854,"The word ""persistent"" describing ongoing medical symptoms or conditions."
889,"The token ""node"" specifically in the context of medical or anatomical terms."
918,"Adjectives or nouns describing substances, qualities, or states related to physical or biological contexts."
943,"Medical terms or actions related to medication (e.g., ""statins"") or symptom management (e.g., ""manage"")."
986,"The token ""headaches"" when preceded by ""cluster"" in medical or explanatory contexts."
998,Words related to physical or structural stability or matching attributes.
1072,Tokens related to prenatal care or over-the-counter analgesics.
1090,Words referring to body parts or sensations in a context of recovery or physical activity.
1294,"Tokens related to personal anxiety or medical interventions, often involving ""me"" or ""anti""."
1333,Verbs describing actions with objects or tools in practical or caregiving contexts.
1337,"The token ""loe"" in contexts discussing aloe vera or its usage."
1353,"The token ""you"" following ""allows"" in contexts of enabling or facilitating an action or outcome."
1460,Tokens related to medical treatment or therapeutic processes.
1607,"Tokens conveying personal emotions or subjective experiences, often involving uncertainty or concern."
1640,"Tokens ""be"" or ""-"" in contexts discussing impact or intensity levels in physical activities or products."
1651,"Prepositions ""with"" and ""compare"" in instructional or advisory contexts."
1699,"Tokens conveying urgency or emphasis in user queries, often punctuation like periods or exclamation marks."
1737,"Words related to health, wellness, or personal freedom in contexts of advice or observations."
1861,"Prepositions ""as"" or ""to"" in contexts comparing or relating two concepts."
1947,"Words describing forceful actions or eliminations, often with impactful or decisive connotations."
2116,"Tokens related to healthcare and physical assistance, especially ""mobility"" and ""hosp"" in caregiving contexts."
2211,"The token ""out"" in the context of medical diagnosis or condition, specifically gout."
2403,Functional words connecting clauses or introducing phrases in medical or health-related contexts.
2435,"The token ""cinnamon"" in contexts discussing health benefits or dietary supplements."
2474,"Tokens indicating substitution, possession, or causation in medical or health-related contexts."
2506,Verbs denoting intense physical or psychological states or transitions.
2555,"Medical-related terms describing physical conditions or traits such as ""rash,"" ""motions,"" ""stability,"" or ""adjustments."""
2587,"Abstract nouns associated with safety, resilience, or improvement in health or personal circumstances."
2612,"Specialized terms related to health, altitude, or deterrents, often indicating specific actions or substances."
2624,"Tokens describing medical actions, outcomes, or tools, often related to intervention or treatment."
2645,"The token ""fertility"" in contexts discussing medical treatments or consultations."
2686,"Words related to ""occupational therapy"" or ""low-impact"" physical activities."
2794,"The token ""on"" when describing a person being prescribed or using medication or treatment."
2818,"Words related to health aids or physiological balance like ""aid"" and ""pH""."
2857,"The possessive ""'s"" following ""St. John"" in the context of ""St. John's Wort""."
2874,"Tokens indicating a pause or separation, such as commas, in reflective or explanatory contexts."
2895,"The token ""remedy"" when used in the context of ""home remedy""."
2993,"Words related to medical treatments, conditions, or interventions, often in a clinical or instructional context."
3052,Prepositions in phrases describing connections or relationships.
3224,"The token ""be"" in the context of expressing understandable or valid emotional states like concern or worry."
3244,"The token ""avoid"" when discussing strategies to prevent risks, complications, or undesirable outcomes."
3413,Tokens conveying emotions or physical states tied to personal concerns or vulnerabilities.
3447,Practical or functional nouns indicating a specific action or physical state.
3715,"The word ""symptom(s)"" when describing medical conditions or ailments."
3896,"Words expressing absolute negation or impossibility, such as ""never."""
3914,"The token ""head"" in contexts describing physical impact or injury."
4127,Words related to routine maintenance or servicing of personal items or equipment.
4259,Possessive pronouns referring to people or entities.
4268,"Abstract nouns relating to time, feelings, or conceptual aspects in explanatory or descriptive contexts."
4298,"The token ""what"" in inquiries seeking clarification or guidance."
4362,"Medical terms related to hormone therapy, birth control, or insulin resistance."
4379,"Singular nouns indicating objects, actions, or concepts in questions or advice contexts."
4402,"The token ""on"" in contexts implying physical contact or pressure."
4537,"The token ""bit"" in contexts expressing mild intensity or slight degrees of emotions or sensations."
4638,"The token ""suffice"" in contexts suggesting adequacy or sufficiency for a practical or medical solution."
4782,Words related to medical symptoms or treatments like breathing difficulties or antiviral medications.
4818,Past-tense verbs describing a physical action that causes harm or impact.
4883,Tokens conveying adverse outcomes or actions involving omission or decline.
4898,First-person pronouns indicating personal involvement or self-reference in contexts of inquiry or concern.
4919,Singular nouns indicating tangible objects associated with specific actions or scenarios.
4956,"Rare or specialized medical terms, especially related to specific diseases or conditions."
5086,"Words describing medical processes or outcomes, often in the context of medications or their effects."
5136,"Medical terms related to radiation, ovarian cancer, or preservation processes."
5140,Body parts or organs related to vision or respiration like lungs and lens.
5264,"The token ""suggested"" in contexts of advice or recommendations."
5600,"The token ""form"" or its plural, particularly in contexts of options or variations."
5605,"Words related to temporal phases or actions, such as ""post"" or ""activity""."
5625,"Words indicating avoidance or dismissive actions like ""skip"" and ""worry"" in advisory contexts."
