feature_id,explanation
88,"Tokens related to nuanced or subjective states, often involving representation, suitability, eras, or personal attitudes."
645,"Verbs or nouns indicating mental freedom, limitation, or avoidance of external influence or restriction."
663,Tokens expressing manner or method in contexts of admiration or explanation.
854,"Adjectives and phrases emphasizing difficulty, necessity, or importance in contexts of challenges or societal roles."
889,Tokens related to abstract or central concepts in philosophical or analytical contexts.
943,Tokens indicating entertainment activities or actions to resolve situations effectively.
986,Informal verbs or phrases indicating communication or expression of feelings.
998,Words related to stability or designated places in abstract or physical contexts.
1072,"Words related to human traits or states, specifically ""conscious"" and ""babys"" in reflective or descriptive contexts."
1090,Specific nouns representing notable figures or creative/musical activities.
1294,"Tokens suggesting personal involvement or direct reference, often implying ownership or participation."
1333,"The word ""teaching"" in contexts related to online education or professional activities."
1337,"The token ""outside"" describing a physical space or location."
1347,Common prepositions indicating movement or transition in thought or concepts.
1353,Informal second-person pronouns and casual expressions of actions or states.
1460,Singular nouns in formal contexts denoting structured entities or systems.
1607,"Prepositions indicating a relationship of location or context, especially ""of"" and ""conceivable."""
1640,"Conjunctions ""and"" or ""to"" linking actions or ideas about outdoor activities or limitless possibilities."
1651,"Tokens ending in ""ing"" that suggest a state of striving or progression."
1699,"Verbs encouraging communication or sharing, such as ""know"" and ""share""."
1724,"The phrase ""work things out"" in contexts of resolution or problem-solving."
1737,"Abstract or temporal concepts, often adverbs or nouns, indicating possibility, frequency, or existence."
1947,"Adjectives describing intellectual qualities, driven behavior, or notable traits in a specific context."
2116,"Tokens related to communication, applications, or the prefix ""Inv"" in inviting contexts."
2208,"The numeral ""3"" following a period and preceding emphasized or highlighted AI-related terms."
2211,"Tokens introducing parenthetical phrases or clauses, especially ""( as"" and related conjunctions or explanatory contexts."
2245,"Auxiliary verbs ""are"" and ""have"" in sentences describing societal roles or perceptions of men."
2403,"The pronoun ""I"" expressing personal intent or desire in a conversational or narrative context."
2435,"Words related to human emotions, traits, nuances, and ethical alignment."
2474,"Tokens related to ""enlightening"" in contexts of intellectual or meaningful discussions."
2506,"Tokens conveying abstract concepts or qualities related to human progress, reasoning, or ethical ideals."
2555,"Abstract nouns related to social or systemic concepts like dynamics, resolution, inclusion, inequality, and competition."
2587,Abstract nouns linked to human moral reasoning or interpersonal communication.
2612,"Words denoting emphasis or significance in contexts of mindfulness, creativity, or focus."
2624,Uncommon or whimsical words emphasizing abstract or creative concepts.
2645,"Tokens ""skill"" or ""ating"" in contexts of learning or delegating tasks."
2686,Abstract or conditional terms often implying limitations or requirements in a context.
2818,"Abstract nouns related to human experiences, behaviors, or structured activities."
2874,Tokens indicating verbs or actions with potential or hypothetical implication in intellectual or evaluative contexts.
2993,"Adjectives or modifiers expressing optimality, affordability, or accessibility in aspirational or idealistic contexts."
3052,Tokens related to environmental protection or restoration actions.
3224,"The token ""be"" when used in expressions about states or conditions, often with a sense of possibility or existence."
3413,"Abstract nouns denoting a state, custom, or effort in a reflective or explanatory context."
3447,"Verbs related to achieving, attempting, or overcoming constraints and boundaries."
3615,"The word ""forever"" in aspirational or idealistic contexts."
3715,"The token ""sign"" when used metaphorically to indicate evidence or a symptom of something."
3896,"Tokens emphasizing impossibility or exclusivity, like ""never"" or ""because,"" in philosophical or reflective contexts."
3914,"The token ""with"" used in philosophical or abstract discussions of human experience or emotions."
4019,"The token ""constant"" when describing ongoing or persistent demands or care."
4127,"The token ""the"" in contexts discussing roles or categories in professional or societal domains."
4259,"Pronouns ""your"" and ""their"" or the adjective ""defined"" in contexts emphasizing control, possession, or categorization."
4268,"Abstract nouns related to traits, components, or influences in systems or conceptual frameworks."
4298,"The token ""like"" in speculative or hypothetical contexts."
4362,"Abstract concepts or ideals related to societal progress, equality, or human responsibility."
4379,"Tokens emphasizing individual choice or autonomy, often in relation to roles, life paths, or societal expectations."
4402,Verbs or modifiers indicating action or correction in contexts of support or improvement.
4537,"Tokens relating to personal biases or slight degrees of something like ""a bit""."
4638,"Verbs or adjectives implying adequacy or sufficiency, often in practical or emotional contexts."
4782,"Tokens representing specialized actions, processes, or concepts in distinct domains like physiology, gaming, or programming."
4883,"Tokens implying desire, reflection, or time passing in personal or introspective contexts."
4898,Words related to cognitive processes or intellectual abilities in analytical or philosophical contexts.
4919,"Tokens representing high-level societal concepts like ""Jobs,"" ""income,"" or ""healthcare"" in visionary or systemic contexts."
5086,"Verbs suggesting action or transition, often related to emotional, intellectual, or contextual progression."
5136,"Tokens conveying strong emotional or social constructs, often tied to personal or societal reflection."
5264,"Tokens related to Copernicus or actions indicating purpose or motivation (e.g., ""to,"" ""my,"" ""cutting"")."
5600,"Singular nouns related to high-quality resources, tools, or materials."
5605,"Prepositions ""in"" or ""on"" and verbs ""name"" or ""naming"" in contexts of categorization or abstraction."
5625,"Action-oriented verbs indicating allocation, attribution, cooperation, or handling resources and tasks."
5678,"The word ""everyone"" in contexts emphasizing universal inclusion or collective benefit."
5688,"Tokens describing specific qualities or comparisons, often with a hyphen or compound word structure."
6087,"Words suggesting reflection, relaxation, or exploratory actions in casual or motivational contexts."
6155,"Tokens conveying a completion or depletion, often tied to resources or states like ""into,"" ""your,"" or ""out."""
6211,"The token ""how"" in phrases emphasizing complexity or advancement, often following ""no matter""."
6247,Words discussing societal roles or distinctions explicitly tied to gender norms.
6271,"Nouns related to personal interests, lifestyle, or identity."
6291,"Tokens indicating methods or approaches, often tied to practical or conceptual exploration."
6460,"Suffixes ""of,"" ""us,"" ""a,"" ""ing,"" and ""ivity"" in contexts of evolution, support, and objectivity."
6474,Tokens expressing personal aspirations or individual choices phrased in a reflective or motivational context.
6538,"Terms denoting accessibility, competence, or exchange in contexts of innovation or global collaboration."
6578,Tokens related to breakthroughs or self-reflective processes often involving compound or abstract concepts.
6701,Words related to advanced AI attributes or human-AI interaction concepts.
6925,"Proper nouns or abstract terms related to significant figures, fields, or collaborative actions."
6944,Terms related to stress management or therapeutic programs.
6958,Prepositions in context linking clauses or phrases.
7056,"The token ""a"" in contexts suggesting finding, describing, or planning something or someone."
7077,"Singular nouns denoting specific, significant entities or concepts in a futuristic or hypothetical context."
7276,"Verbs implying action or decision-making in contexts suggesting care, consideration, or responsibility."
7385,"Positive action or outcome verbs suggesting progress, improvement, or benefit."
7483,"The token ""ale"" in ""Florence Nightingale"" references."
7554,Tokens related to financial concepts or investment strategies.
7559,Verbs or nouns related to initiating or engaging in actions or new ventures.
7571,Words related to AI or drug development in technical or ethical contexts.
7601,"Verbs indicating action, movement, or interaction with text or media."
7634,"The token ""need"" in contexts expressing dependency or requirement for assistance or resources."
7773,"Tokens introducing causal or explanatory relationships like ""mean,"" ""by,"" and ""embody."""
7959,"Tokens describing hand-crafted items, manual tasks, or niche preferences."
7980,"Adverbs or nouns emphasizing exceptional qualities or achievements, often tied to groundbreaking or profound concepts."
7987,"Verbs encouraging action or interaction, often with a positive or supportive tone."
8074,"Tokens related to audio content like ""audi"" (in audiobook) or ""play"" in the context of listening."
8179,"Abstract nouns highlighting flaws, mistakes, or unique attributes in human or AI contexts."
8256,Verbs expressing intention or aspiration in gerund form.
8277,"Abstract concepts or actions related to opportunity, change, or entering a state/condition."
8467,Abstract nouns denoting personal or societal concepts or dependencies.
8763,"Words conveying expansion or large scale, such as ""vast"" or ""horizons""."
8797,Positive or altruistic terms related to kindness or community support.
8831,"The token ""of"" following adjectives describing combinations or mixtures."
9149,Punctuation marks like periods and commas in contexts of summarizing or transitioning ideas.
9155,"Tokens ""husband"" and verbs related to supportive or interpersonal actions."
9313,Terminal punctuation marks concluding statements about abstract concepts or philosophical reflections.
9481,"Tokens implying possibility, hypothesis, or temporary conditions, e.g., ""could,"" ""key,"" ""argue,"" ""temporarily."""
9551,"The token ""simple"" in contexts describing easy methods or approaches to achieve something."
9649,"Tokens related to unique or unconventional expressions of action, belief, or state."
9699,"Nouns representing abstract concepts or actions often used as objects, like ""project,"" ""transactions,"" ""questioning."""
9703,"The possessive pronoun ""their"" in contexts discussing creativity, innovation, or artistic processes."
9707,Singular nouns denoting abstract or visual concepts in artistic or broader observational contexts.
9781,"Abstract nouns related to emotions or emphasis, especially ""frustration"" and its plural form."
9820,"The token ""prioritize"" in contexts emphasizing leadership decisions or global values like peace, unity, or equality."
9825,"Tokens related to international relations, trade, and collaborative alliances."
9940,"Abstract nouns emphasizing unique personal traits, emotions, or influence in reflective or philosophical contexts."
10015,"Tokens introducing a secondary point or perspective, often implying a shift or elaboration in discourse."
10138,"Prepositions in phrases describing social or transactional contexts, often involving choices or connections."
10157,"Tokens implying abstract concepts or actions involving consideration, benefit, or alternatives."
10184,"Tokens implying mutual connection or exchange, often in intellectual, technological, or cooperative contexts."
10268,"Tokens indicating specialized terms or forms, particularly ""of"" and ""Ibn"" in academic or descriptive contexts."
10450,Prepositions introducing beneficiaries or recipients of actions or resources.
10517,"Positive or aspirational adjectives or nouns describing outcomes, experiences, or qualities."
10577,Reflexive or possessive pronouns in contexts implying autonomy or self-directed actions.
10660,"Abstract nouns like ""society"" and ""narrative"" used in discussions about collective values or cultural shifts."
10820,"Abstract or conceptual verbs indicating action, change, or realization."
10977,Singular nouns describing intellectual or academic fields.
