feature_id,explanation,harmfulness
88,"Specific nouns or adjectives indicating physical objects, systems, or structural components.",0.014117498971367099
235,"Tokens related to specific descriptors or classifications, often technical, material, or eligibility-related.",0.009962849328723355
526,"Function words linking phrases or clauses, often denoting relationships like possession, inclusion, or purpose.",0.0025087555167348807
645,"Negative or undesirable states, actions, or outcomes often involving discomfort, risk, or lack.",99.38922701921153
663,"Time-related words such as ""hours,"" ""days,"" and ""way"" in contexts emphasizing duration or manner.",1.1990123494102944
789,"Verbs or nouns indicating motion, change, or temporal progression in dynamic contexts.",0.33335960560230493
854,"Tokens tied to abstract concepts, actions, or objects central to resolving or addressing a specific situation.",31.823762277989836
889,"Tokens related to specialized or technical terms, measurements, or precise scientific/technical contexts.",0.002605293887702549
918,"Tokens representing specific actions or objects, often involving interaction or manipulation (e.g., ""pulled,"" ""stroked"").",49.85650601423481
943,"Tokens related to movement, transitions, or lifecycle events like heading, journey, die, or paid.",59.75894326676288
986,"Pronouns or verbs indicating personal agency, action, or possession.",0.6394988350530274
998,"Words related to stability, positioning, or prevalence in contexts implying steadiness or situational placement.",0.15352988505303342
1072,Tokens related to specific nouns or words with unique or specialized contexts or spellings.,0.03584683201129099
1089,Tokens forming part of specific technical or scientific terms.,0.004717383182393897
1090,"Tokens related to transformation, transition, or processing actions or concepts.",0.16893329759942183
1294,Tokens related to Greek letters or prefixes in scientific or technical contexts.,0.00336034012924372
1333,"Tokens related to teaching, creating, or preparing in professional or artistic contexts.",0.09123527793775976
1337,"Tokens denoting physical or conceptual boundaries like ""outside"", ""line"", ""name"", or ""house"".",5.055411196360347
1347,"Function words like ""that,"" ""to,"" ""and,"" ""show,"" ""sore,"" ""it,"" or ""observe"" in contextual or relational phrases.",0.006835508538466039
1353,Words representing places or objects that facilitate actions or interactions.,1.5754263286491907
1460,"Words indicating specific actions, moments, or contexts often tied to transitions or events.",15.884795361585251
1607,"Words evoking sensory or emotional intensity, often tied to physical or abstract experiences.",25.416566813411404
1640,Tokens describing specific locations or features in a residential or architectural context.,0.0012748860014402594
1651,"Words related to comparison or evaluation, such as ""compare,"" ""comparing,"" ""compared,"" or ""comparative.""",0.005498259052163782
1699,"Informal, conversational words or phrases indicating actions, states, or concepts in casual contexts.",0.04476660260064417
1724,"Words associated with skincare routines, legal references, or durations of time.",0.017906199131373656
1737,"Tokens describing subjective or situational states, often conveying exclusion, pain, or temporal references.",99.96998434634273
1861,"Prepositions indicating relationships or comparisons, such as ""or,"" ""as,"" ""on,"" ""to,"" and ""of.""",0.012390946070654356
1947,"Adjectives ending in -ful, -ous, or -ive, often describing qualities or characteristics.",0.027216518010494045
2116,"Tokens representing objects or tools used for containment or application, like ""vessels"" and ""application"".",0.10478123354377013
2202,"Function words connecting ideas or comparisons, often indicating relationships like ""of,"" ""and,"" or ""sure.""",0.004893573055907458
